meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Prix Talents contemporains,,2016,,Fondation Schneider,Fondation,,,France,Focus on Infinity film de Mathilde Lavenne |code:584,,
Grand Prix ,,2016,,RISC,Film Festival,,Marseille,France,"I made you, I kill you film de Alexandru Petru Bǎdelițǎ |code:658",,
Prix de l'innovation,,2016,,FIDEC,Film Festival,,Tétouan,Maroc,Ciudad Maya film de Andrés Padilla Domene |code:680,,
Mention spéciale ,documentaire,2016,Bogota Short Film Fest - Bogota (CO) |code:1120,,Short Film Festival,,Bogota,Colombie,Isabella Morra film de Isabel Pagliai |code:574,,
Prix spécial du ministère,,2016,,GISFF,Film Festival,,Téhéran,Iran,Focus on Infinity film de Mathilde Lavenne |code:584,,
Meilleur court-métrage,,2016,,Short the point ,Film Festival,,,Roumanie,Isabella Morra film de Isabel Pagliai |code:574,,
Prix du jury,,2015,,FIDEC,Film Festival,,Tétouan,Maroc,Chaque fois qu’on se dit au revoir film de Chao Liang |code:586,,
meilleur film expérimental ,,2015,,Cinemaiubit,Film Festival,,Bucarest,Roumanie,Le Park film de Randa Maroufi |code:587,,
Best creative short,,2015,,Cervantes Award,Prix annuel ,Ministère de la culture,Madrid,Espagne,Le Park film de Randa Maroufi |code:587,,
Prix jeune talent numérique,,2015,,Scam*,Gala,Cent-Quatre,Paris,France,Cuisine Américaine film de Justine Pluvinage |code:570,,
Premio Under 35,,2015,InvidéO - Milan (IT) |code:1143,,Film Festival,,Milan,Italie,Céos | Phoébé film de David Rodes |code:564,,
Meilleur film,Compétition nationale,2015,,Festival du court métrage indépendant ,Short Film Festival,,Vienne,Autriche ,"Of stains, scrap and tires film de Sebastian Brameshuber |code:5",,
Meilleur film,,2015,Punto De Vista - Navarra (ES) |code:1038,,Film Festival,,Pampelune,Espagne,Echo chamber film de Guillermo Moncayo |code:17,,
Prix du jury ,jeune court-métrage,2015,,Biarritz Amérique latine,Film Festival,,Biarritz,France,Echo chamber film de Guillermo Moncayo |code:17,,
Prix jeune talent numérique,,2015,,Scam*,Gala,Cent-Quatre,Paris,France,Howto film de Elisabeth Caravella |code:4,,
RMIT University award,experimental short film,2015,Miff - Melbourne (AU) |code:1093,,Film Festival,,Melbourne ,Australie,Tehran-Geles film de Arash Nassiri |code:29,,
Prix université Blaise Pascal,,2015,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Tehran-Geles film de Arash Nassiri |code:29,,
Mention spéciale Format Court,,2015,Festival EuropéEn Du Film Court De Brest - Brest (FR) |code:1134,,Film Festival,,Brest,France,"Archipels, granites dénudés film de Daphné Hérétakis |code:12",,
Prix du jury,,2015,Hiroshima Film Festival - Hiroshima (JP) |code:1151,,Film Festival,,Hiroshima,Japon,"Archipels, granites dénudés film de Daphné Hérétakis |code:12",,
Meilleur court-métrage,,2015,,PAFF,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudés film de Daphné Hérétakis |code:12",,
Mention spéciale du jury,,2015,,AIFF,Film Festival,,Athènes,Grèce,"Archipels, granites dénudés film de Daphné Hérétakis |code:12",,
